instruction_id,recipe_id,order_number,instruction_description,createdAt,updatedAt
100,28,1,"Prepare the salsa: Set a grater in a large bowl; grate the tomatoes and onion into the bowl. Add the jalapeno, chopped garlic, hot sauce, cumin and salt and pepper to taste.",1/1/23,1/1/23
101,28,2," Heat a medium skillet over low heat and add 2 teaspoons olive oil. Fry the salsa in the oil until it thickens slightly, 3 minutes. Remove to a bowl and set aside.",1/1/23,1/1/23
102,28,3,"Add the beans to the same pan along with the smashed garlic, 1/2 cup warm water and a pinch of salt; cook over low heat until warmed through, smashing slightly with a fork. Meanwhile, heat the remaining 2 tablespoons oil in another skillet.",1/1/23,1/1/23
103,28,4," Place 1 warm tortilla on each plate. Divide the beans among them, then top with a fried egg, some salsa and cheese. Sprinkle with cilantro and serve with the remaining salsa.",1/1/23,1/1/23
104,29,1,"Preheat the oven to 250. Put the apple in a microwave-safe bowl and tightly cover with plastic wrap; microwave on high until softened, about 2 minutes.",1/1/23,1/1/23
105,29,2,"In a large bowl, whisk the flours, baking powder, baking soda and salt. In a small bowl, whisk the buttermilk, nonfat milk, eggs and honey, then slowly add the dry ingredients, stirring until just combined.",1/1/23,1/1/23
106,29,3,"Heat a large nonstick griddle or skillet over medium heat. Spoon 1/4 cup batter onto the griddle for each pancake and sprinkle each with apple, then drizzle a little more batter over the apple. Cook until the tops are bubbly and the edges are dry, about 2 minutes. Flip and cook until golden brown, 1 to 2 more minutes. Keep the pancakes warm on a baking sheet in the oven while making the rest.",1/1/23,1/1/23
107,29,4,"Place 2 pancakes on each plate. Drizzle with the syrup.",1/1/23,1/1/23
108,29,5,"Recipe adapted from Ellie Krieger's book, So Easy: Luscious Healthy Recipes for Every Meal of the Week",1/1/23,1/1/23
110,30,1,"Preheat the oven to 350 degrees. Coat a 9 x 13inch baking pan with cooking spray.",1/1/23,1/1/23
111,30,2,"Melt the chocolate and butter in a double boiler or heatproof bowl set over a pot of barely simmering water, stirring occasionally.",1/1/23,1/1/23
112,30,3,"In a medium bowl, whisk together the flour, cocoa, salt, and baking soda.",1/1/23,1/1/23
113,30,4,"In a large bowl whisk the eggs and sugar until smooth. Add the yogurt, oil and vanilla and whisk to combine. Add the chocolate-butter mixture and whisk until blended. Add the flour mixture and mix until just moistened.",1/1/23,1/1/23
114,30,5,"Transfer the mixture to the prepared pan and sprinkle with nuts if using. Bake for 20-25 minutes, until a wooden toothpick inserted in the center comes out with a few moist crumbs. Cool completely in the pan on a wire rack. Cut into 24 squares.",1/1/23,1/1/23
116,31,1,"Bring a pot of water to a boil. Cook elbow macaroni until al dente, about 8 minutes.",1/1/23,1/1/23
117,31,2,"While the macaroni is cooking, go ahead and start on the roux. A roux is a thickening agent made of one part fat and one part flour that makes up the base of this creamy mac and cheese. To make the roux, start by melting butter in a saucepan over medium heat. Add flour, salt, and pepper and stir until smooth. Slowly pour in milk and stir until the mixture is smooth and bubbling. Be careful to not let the milk burn.",1/1/23,1/1/23
118,31,3,"Finally, the most crucial step: Add cheese! Slowly stir in Cheddar cheese until smooth and melted. We recommend you grate your own cheese because pre-shredded cheese won't incorporate into the mixture as well as block cheese. Once the macaroni is finished cooking, drain and stir into cheese sauce until coated.",1/1/23,1/1/23
119,32,1,"Position racks in the upper and lower thirds of the oven and preheat to 450 degrees F using the convection setting, if available. Place a baking sheet on one of the racks to preheat.",1/1/23,1/1/23
120,32,2,"Prepare the chips: Cut the potatoes into 1/4-inch-thick sticks. Toss with the olive oil and cayenne in a bowl. Carefully remove the hot baking sheet from the oven, add the potatoes and spread in an even layer. Use a rubber spatula to scrape any oil from the bowl over the potatoes. Bake on the top oven rack, turning once, until browned and crisp, 25 to 30 minutes. Season with salt.",1/1/23,1/1/23
120,32,3,"Meanwhile, make the fish: Set a wire rack on a baking sheet and coat with cooking spray. Lightly crush the cereal in a bowl with your fingers. Add 2 teaspoons salt, and black pepper to taste. In another bowl, whisk the egg whites and a pinch of salt until frothy.",1/1/23,1/1/23
120,32,4,"Dip the fish in the egg whites, then roll in the cereal crumbs to coat. Place the fish pieces on the rack (position them on their sides so that the majority of the crust is exposed) and mist with cooking spray.",1/1/23,1/1/23
120,32,5,"Bake the fish on the bottom oven rack until crisp and just cooked through, about 12 minutes. Season with salt and black pepper. Serve the fish and chips with tartar sauce and/or malt vinegar, if desired.",1/1/23,1/1/23
121,33,1,"Preheat the oven to 375 degrees F. Line a 12-cup muffin pan with paper liners or 6-inch squares of parchment paper and mist with cooking spray. (Use parchment paper if you want a more domed muffin; the batter will cling to the paper as it rises.)",1/1/23,1/1/23
122,33,2,"Whisk the flour, cornmeal, 3/4 cup sugar, the baking powder and salt in a medium bowl. In another bowl, whisk the buttermilk, apricot nectar, grapeseed oil, vanilla extract and orange zest until combined.",1/1/23,1/1/23
123,33,3,"Beat the egg whites and remaining 3/4 cup sugar in a large bowl with a mixer on medium-high speed until stiff peaks form, about 8 minutes. Whisk the buttermilk mixture into the dry ingredients until just moistened. Gently fold in the egg-white mixture until almost combined, then fold in the raspberries; do not overmix.",1/1/23,1/1/23
124,33,4,"Divide the batter among the prepared cups (an ice cream scoop works well). Bake until a toothpick inserted into a muffin comes out clean, 30 to 35 minutes. Remove the muffins from the pan and cool on a rack.",1/1/23,1/1/23
125,34,1,"Preheat the oven to 375 degrees F. Coat a 9- by 13-inch baking dish with cooking spray. ",1/1/23,1/1/23
126,34,2,"Whisk together the yogurt, milk, sour cream and flour in a large bowl. Stir in the hash browns, 1/2 cup of the Cheddar, 2 teaspoons salt and 1/2 teaspoon pepper. Set aside. ",1/1/23,1/1/23
127,34,3,"Melt the butter in a large skillet over medium-high heat. Add the onions and cook, stirring often, until soft and lightly browned, about 10 minutes. Add the mushrooms and cook, stirring often, until the mushrooms are wilted and the onions begin to brown, about 10 minutes more. If the pan gets too hot, add a splash or two of water as needed. Stir in the garlic and cook for 1 minute. Stir the vegetables into the hash brown mixture to combine. ",1/1/23,1/1/23
128,34,4,"Spread the mixture evenly in the prepared dish. Sprinkle with the remaining 1/2 cup cheese, the breadcrumbs and nutmeg if using. Bake until a deep golden brown, about 45 minutes. ",1/1/23,1/1/23
129,34,5,"Sprinkle with parsley and serve.",1/1/23,1/1/23
130,35,1,"Position the rack in the lower third of the oven and preheat the oven to 350 degrees F.",1/1/23,1/1/23
131,35,2,"Line an 8 by 8-inch baking pan with foil so it hangs over the edges by about 1-inch. Spray with cooking spray.",1/1/23,1/1/23
132,35,3,"Cheesecake topping: In a medium bowl and using an electric mixer at medium speed, beat the cream cheese until smooth and creamy, about 1 minute. Beat in the sugar and the vanilla until very smooth, 1 to 2 minutes. Beat in the egg until well blended. Set aside.",1/1/23,1/1/23
133,35,4,"Brownie layer: Put the chocolate, butter, and oil in a small microwave-safe bowl and heat at 75 percent power for 30 seconds. Stir and microwave again until melted and smooth, about 30 seconds longer. (Alternatively, put the chocolate, butter, and oil in a small heatproof bowl. Bring a small saucepan filled with 1 inch or so of water to a very slow simmer; set the bowl over, not touching, the water, and stir occasionally, until melted and smooth.)",1/1/23,1/1/23
134,35,5,"Combine the flour, cocoa powder, baking powder, salt, and cayenne in a medium bowl.",1/1/23,1/1/23
135,35,6,"Combine the brown sugar and granulated sugar in a large bowl. Whisk in the buttermilk, egg whites, and vanilla. Add the chocolate mixture and whisk vigorously until fully incorporated and the batter is thick and glossy. Gradually add the flour mixture and stir just until it disappears.",1/1/23,1/1/23
136,35,7,"Reserve 1/2 cup brownie batter and set aside. Scrape the remaining brownie batter into the prepared pan. Pour the cheesecake mixture evenly over top. Drop the reserved brownie batter in large dollops over the topping. Draw the handle of a wooden spoon through the two batters to create a swirled effect.",1/1/23,1/1/23
137,35,8,"Bake until the top is just set, 40 to 45 minutes. Let cool completely in the pan on a wire rack. Lift brownies out of the pan by the foil and peel off the foil. Spray a knife with cooking spray and cut into 2-inch squares.",1/1/23,1/1/23
138,36,1,"Tomato sauce: Heat the oil in a large nonstick skillet over medium heat. Add the onion and cook until softened and lightly browned, about 5 minutes. Add the garlic and cook until fragrant, about 1 to 2 minutes. Add the tomatoes, vinegar, salt, and red pepper flakes; bring to a boil. Reduce the heat and simmer, covered, until the flavors are blended and the sauce begins to thicken slightly, about 10 minutes. Remove from the heat; stir in the basil.",1/1/23,1/1/23
139,36,2,"Chicken: Preheat the oven to 425 degrees F. Spray a 9 by 13-inch baking dish with cooking spray. Sprinkle the cutlets with the salt. Lightly beat the egg whites in a medium bowl. Combine the bread crumbs and Parmesan on a sheet of waxed paper. Spread the flour on another sheet of waxed paper. Working with 1 piece of chicken at a time, dip both sides into the flour, shaking off excess. Dip each piece into the egg whites, shaking off excess, and then press both sides into the breading to coat.",1/1/23,1/1/23
140,36,3,"Heat the oil in a large nonstick skillet over medium-high heat. Add the chicken (in batches, if necessary) and cook until browned, 3 to 4 minutes. Transfer the chicken, in 1 layer, to the baking dish. Spoon the sauce over the chicken then sprinkle with the cheese. Bake, covered loosely with a tent of foil, until the cheese is melted and the sauce is bubbly, about 12 to 15 minutes.",1/1/23,1/1/23
141,36,4,"Food Network Kitchens created this lightened-up recipe from a user submission. Click here to see the original recipe.",1/1/23,1/1/23
142,37,1,"Position an oven rack in the center of the oven and preheat to 375 degrees F. Line a rimmed baking sheet with parchment.",1/1/23,1/1/23
143,37,2,"Put the cranberries, ketchup, honey, sriracha, 1/2 cup water and 1/2 teaspoon of the mustard in a small saucepan and stir to combine. Heat over medium-high heat until the mixture starts to bubble, then reduce to a simmer and cook, stirring occasionally, until the mixture thickens and the cranberries soften, about 10 minutes. Use a potato masher to crush the cranberries until mostly smooth. Add the rosemary and 1/4 teaspoon salt and set aside to cool slightly.",1/1/23,1/1/23
144,37,3,"Grate the carrot and onion on the small shredding side of a box grater into a large bowl. (This will save any onion liquid, which will help keep the meatloaf moist.) Add the beef, turkey, egg, barley, Worcestershire, remaining 2 teaspoons of the mustard, 1 teaspoon salt and several grinds of pepper. Use your hands to mix everything together until well combined.",1/1/23,1/1/23
145,37,4,"Transfer the mixture to the prepared baking sheet and shape into a 9-by-4-inch loaf using your hands. Brush the meatloaf on all sides with half of the cranberry glaze. Bake until the glaze starts to adhere and dry slightly, about 15 minutes. Brush the meatloaf on all sides with the remaining glaze and bake until a thermometer inserted into the center of the meatloaf registers 155 degrees F, 30 to 35 minutes. Garnish with rosemary sprigs before serving.",1/1/23,1/1/23
146,38,1,"In a medium bowl, gently whisk the almond milk, yogurt, 2 tablespoons maple syrup, the vanilla and 1/8 teaspoon salt until just blended. Whisk in the chia seeds; let stand 30 minutes. Stir to distribute the seeds if they have settled. Cover and refrigerate overnight.",1/1/23,1/1/23
147,38,2,"The next day, in a medium bowl, toss the berries with the remaining 4 teaspoons maple syrup. Mix in the almonds.",1/1/23,1/1/23
148,38,3,"Spoon the pudding into 4 bowls or glasses; mound the berry mixture on top and serve.",1/1/23,1/1/23
149,39,1,"For the steak: Begin with setting up an assembly line of dishes. Mix the milk with the eggs in one; the flour mixed with the seasoned salt, 1 1/2 teaspoons black pepper, paprika and cayenne in another; and the meat in a third. Then have one clean plate at the end to receive the breaded meat.",1/1/23,1/1/23
150,39,2,"Work with one piece of meat at a time. Sprinkle both sides with kosher salt and black pepper, then place it in the flour mixture. Turn to coat. Place the meat into the milk/egg mixture, turning to coat. Finally, place it back in the flour and turn to coat (dry mixture/wet mixture/dry mixture). Place the breaded meat on the clean plate, then repeat with the remaining meat.",1/1/23,1/1/23
151,39,3,"Heat the oil in a large skillet over medium heat. Add the butter. Drop in a few sprinkles of flour to make sure it's sufficiently hot. When the butter sizzles immediately, you know it's ready. (It should not brown right away, if it does, the fire is too hot.) Cook the meat, 3 pieces at a time, until the edges start to look golden brown, about 2 minutes each side. Remove the meat to a paper towel-lined plate and keep them warm by covering lightly with another plate or a sheet of foil. Repeat until all the meat is cooked.",1/1/23,1/1/23
